t_s,Ta_C,Ca_kgkg
3720.0,47.646000,0.04333000
3780.0,47.840000,0.04369000
3840.0,47.873000,0.04373000
3900.0,47.926000,0.04389000
3960.0,48.016000,0.04420000
4020.0,47.977000,0.04422000
4080.0,47.926000,0.04435000
4140.0,48.199000,0.04468000
4200.0,48.166000,0.04483000
4260.0,48.331000,0.04491000
4320.0,48.615000,0.04514000
4380.0,48.380000,0.04530000
4440.0,48.357000,0.04543000
4500.0,48.526000,0.04561000
4560.0,48.590000,0.04589000
4620.0,48.825000,0.04585000
4680.0,48.827000,0.04629000
4740.0,48.988000,0.04641000
4800.0,48.979000,0.04633000
4860.0,48.900000,0.04639000
4920.0,49.144000,0.04660000
4980.0,48.870000,0.04687000
5040.0,48.840000,0.04689000
5100.0,48.913000,0.04707000
5160.0,49.261000,0.04705000
5220.0,49.169000,0.04720000
5280.0,49.056000,0.04713000
5340.0,49.257000,0.04744000
5400.0,49.116000,0.04728000
5460.0,49.415000,0.04760000
5520.0,49.321000,0.04777000
5580.0,49.317000,0.04751000
5640.0,49.304000,0.04782000
5700.0,49.492000,0.04765000
5760.0,49.384000,0.04802000
5820.0,49.272000,0.04779000
5880.0,49.310000,0.04827000
5940.0,49.749000,0.04795000
6000.0,49.743000,0.04841000
6060.0,49.660000,0.04840000
6120.0,49.463000,0.04836000
6180.0,49.830000,0.04851000
6240.0,49.753000,0.04858000
6300.0,49.739000,0.04871000
6360.0,49.622000,0.04842000
6420.0,49.550000,0.04864000
6480.0,49.477000,0.04845000
6540.0,49.891000,0.04875000
6600.0,49.683000,0.04858000
6660.0,49.569000,0.04882000
6720.0,49.633000,0.04886000
6780.0,49.781000,0.04885000
6840.0,49.592000,0.04892000
6900.0,49.941000,0.04908000
6960.0,49.902000,0.04913000
7020.0,49.892000,0.04902000
7080.0,49.759000,0.04911000
7140.0,49.865000,0.04930000
7200.0,49.852000,0.04894000
7260.0,49.893000,0.04897000
7320.0,49.619000,0.04898000
7380.0,49.792000,0.04929000
7440.0,49.612000,0.04920000
7500.0,49.845000,0.04941000
7560.0,49.770000,0.04938000
7620.0,49.683000,0.04924000
7680.0,49.669000,0.04954000
7740.0,49.916000,0.04950000
7800.0,49.714000,0.04928000
7860.0,50.095000,0.04935000
7920.0,49.929000,0.04934000
7980.0,49.817000,0.04929000
8040.0,49.943000,0.04930000
8100.0,49.664000,0.04971000
8160.0,50.135000,0.04948000
8220.0,49.902000,0.04947000
8280.0,50.056000,0.04966000
8340.0,49.710000,0.04959000
8400.0,49.915000,0.04980000
8460.0,49.920000,0.04973000
8520.0,50.147000,0.04960000
8580.0,49.967000,0.04956000
8640.0,49.921000,0.04988000
8700.0,49.821000,0.04976000
8760.0,49.856000,0.04989000
8820.0,49.953000,0.04949000
8880.0,49.915000,0.04986000
8940.0,49.708000,0.04977000
9000.0,50.163000,0.04981000
9060.0,50.198000,0.05004000
9120.0,49.820000,0.05009000
9180.0,50.027000,0.04976000
9240.0,49.804000,0.04998000
9300.0,50.086000,0.05016000
9360.0,49.891000,0.04990000
9420.0,50.080000,0.04998000
9480.0,50.113000,0.04997000
9540.0,50.134000,0.04990000
9600.0,49.804000,0.05021000
9660.0,50.208000,0.05014000
9720.0,49.865000,0.04981000
9780.0,49.769000,0.05025000
9840.0,50.027000,0.05019000
9900.0,49.935000,0.04989000
9960.0,50.165000,0.05017000
10020.0,50.154000,0.04980000
10080.0,49.909000,0.05025000
10140.0,50.226000,0.05008000
10200.0,49.895000,0.05008000
10260.0,50.008000,0.04980000
10320.0,49.878000,0.05020000
10380.0,50.218000,0.04976000
10440.0,49.832000,0.04987000
10500.0,49.772000,0.04982000
10560.0,49.968000,0.05014000
10620.0,50.246000,0.04985000
10680.0,50.196000,0.05021000
10740.0,50.124000,0.05008000
10800.0,50.195000,0.04977000
10860.0,50.197000,0.04975000
10920.0,50.009000,0.04978000
10980.0,49.908000,0.05005000
11040.0,50.136000,0.05015000
11100.0,50.081000,0.04987000
11160.0,49.937000,0.05017000
11220.0,49.797000,0.04978000
11280.0,50.123000,0.05015000
11340.0,49.881000,0.05021000
11400.0,50.218000,0.05014000
11460.0,49.870000,0.05010000
11520.0,49.811000,0.05017000
11580.0,50.166000,0.04977000
11640.0,49.827000,0.04985000
11700.0,49.840000,0.04981000
11760.0,50.050000,0.05000000
11820.0,50.187000,0.05012000
11880.0,49.848000,0.05007000
11940.0,49.905000,0.05018000
12000.0,50.139000,0.04983000
12060.0,50.236000,0.05012000
12120.0,50.000000,0.04985000
12180.0,49.822000,0.04989000
12240.0,49.757000,0.05010000
12300.0,49.865000,0.05024000
12360.0,49.816000,0.05006000
12420.0,50.089000,0.04978000
12480.0,49.811000,0.05006000
12540.0,50.003000,0.04977000
12600.0,50.097000,0.05019000
12660.0,50.041000,0.05010000
12720.0,49.850000,0.04984000
12780.0,50.152000,0.04980000
12840.0,50.108000,0.04984000
12900.0,50.119000,0.05024000
12960.0,49.816000,0.04998000
13020.0,49.812000,0.05014000
13080.0,50.214000,0.05007000
13140.0,49.949000,0.05004000
13200.0,49.900000,0.04982000
13260.0,49.994000,0.05022000
13320.0,50.081000,0.04990000
13380.0,50.228000,0.05004000
13440.0,49.893000,0.05010000
13500.0,50.212000,0.05007000
13560.0,49.762000,0.05022000
13620.0,50.028000,0.04982000
13680.0,50.067000,0.05000000
13740.0,49.803000,0.04995000
13800.0,49.820000,0.04999000
13860.0,49.960000,0.04981000
13920.0,50.233000,0.04982000
13980.0,50.048000,0.04989000
14040.0,50.217000,0.04990000
14100.0,50.152000,0.04996000
14160.0,49.984000,0.05006000
14220.0,50.142000,0.05007000
14280.0,49.759000,0.04996000
14340.0,49.805000,0.04995000
14400.0,50.165000,0.04986000
